2019-04-10T19:57:03.153-05:00[America/Chicago]  Failure
2019-04-10T20:03:02.706-05:00[America/Chicago] test Success
2019-04-11T18:07:01.115-05:00[America/Chicago] test Success
2019-04-11T18:18:38.544-05:00[America/Chicago] test Success
2019-04-11T18:22:30.390-05:00[America/Chicago] test Success
2019-04-11T18:23:47.168-05:00[America/Chicago] test Success
2019-04-11T18:25:12.561-05:00[America/Chicago] test Success
2019-04-11T18:34:55.713-05:00[America/Chicago] test Success
2019-04-11T18:48:07.484-05:00[America/Chicago] test Success
2019-04-11T18:58:04.954-05:00[America/Chicago] test Success
2019-04-11T19:02:24.985-05:00[America/Chicago] test Success
2019-04-11T19:04:41.073-05:00[America/Chicago] test Success
2019-04-11T19:09:33.088-05:00[America/Chicago] test Success
2019-04-11T19:13:14.278-05:00[America/Chicago] test Success
2019-04-11T19:20:03.424-05:00[America/Chicago] ajohnson Success
2019-04-12T20:12:06.986-05:00[America/Chicago] jdoe Success
2019-04-12T20:16:16.765-05:00[America/Chicago]  Failure
2019-04-12T20:16:27.572-05:00[America/Chicago] hSD Failure
2019-04-12T20:33:48.237-05:00[America/Chicago] rsmith Success
2019-04-12T20:35:47.110-05:00[America/Chicago] rsmith Success
2019-04-12T20:39:52.678-05:00[America/Chicago] ajohnson Success
2019-04-12T20:41:21.180-05:00[America/Chicago] ajohnson Success
2019-04-12T20:46:26.668-05:00[America/Chicago] ajohnson Success
2019-04-12T20:49:35.774-05:00[America/Chicago] test Success
2019-04-12T20:52:04.891-05:00[America/Chicago] test Success
2019-04-12T20:55:04.349-05:00[America/Chicago] test Success
2019-04-12T21:03:51.051-05:00[America/Chicago] test Success
2019-04-12T21:05:44.520-05:00[America/Chicago] test Success
2019-04-12T21:11:45.690-05:00[America/Chicago] test Success
2019-04-12T21:15:01.780-05:00[America/Chicago] test Success
2019-04-12T21:17:50.887-05:00[America/Chicago] test Success
2019-04-12T21:20:23.729-05:00[America/Chicago] ajohnson Success
2019-04-12T21:24:38.871-05:00[America/Chicago] test Success
2019-04-13T07:06:14.382-05:00[America/Chicago] ajohnson Success
2019-04-13T07:08:20.100-05:00[America/Chicago] ajohnson Success
2019-04-13T07:49:01.418-05:00[America/Chicago] test Failure
2019-04-13T08:48:38.836-05:00[America/Chicago] test Success
2019-04-13T08:55:44.894-05:00[America/Chicago] ajohnson Success
2019-04-13T09:05:10.390-05:00[America/Chicago] rsmith Success
2019-04-13T09:07:14.968-05:00[America/Chicago] ajohnson Success
2019-04-13T09:13:03.756-05:00[America/Chicago] test Success
2019-04-13T09:14:07.545-05:00[America/Chicago] test Success
2019-04-13T09:32:01.676-05:00[America/Chicago] test Success
2019-04-13T09:33:04.059-05:00[America/Chicago] test Success
2019-04-13T09:33:51.667-05:00[America/Chicago] test Success
2019-04-13T09:53:52.172-05:00[America/Chicago] test Success
2019-04-13T09:56:28.069-05:00[America/Chicago] test Success
2019-04-13T10:53:37.577-05:00[America/Chicago] test Success
2019-04-13T12:39:44.257-05:00[America/Chicago] test Success
2019-04-13T12:58:35.039-05:00[America/Chicago] test Success
2019-04-13T13:25:41.131-05:00[America/Chicago] test Success
2019-04-13T13:27:55.443-05:00[America/Chicago] test Success
2019-04-13T13:47:27.368-05:00[America/Chicago] test Success
2019-04-13T13:51:09.629-05:00[America/Chicago] ajohnson Success
2019-04-13T13:56:57.678-05:00[America/Chicago] test Success
2019-04-13T14:04:00.945-05:00[America/Chicago] test Success
2019-04-13T14:07:56.146-05:00[America/Chicago] test Success
2019-04-13T14:48:05.352-05:00[America/Chicago] test Success
2019-04-13T14:49:50.193-05:00[America/Chicago] test Success
2019-04-13T14:52:04.728-05:00[America/Chicago] test Success
2019-04-13T14:58:47.345-05:00[America/Chicago] test Success
2019-04-14T15:13:13.106-05:00[America/Chicago] test Success
2019-04-14T15:16:38.945-05:00[America/Chicago] test Success
2019-04-14T15:27:07.042-05:00[America/Chicago] test Success
2019-04-14T15:27:57.083-05:00[America/Chicago] test Success
2019-04-14T15:35:17.515-05:00[America/Chicago] test Success
2019-04-14T15:49:23.210-05:00[America/Chicago] test Success
2019-04-14T15:52:01.744-05:00[America/Chicago] test Success
2019-04-14T15:53:50.179-05:00[America/Chicago] test Success
2019-04-14T15:55:37.768-05:00[America/Chicago] test Success
2019-04-14T15:57:58.203-05:00[America/Chicago] test Success
2019-04-14T15:59:04.325-05:00[America/Chicago] test Success
2019-04-14T16:01:36.280-05:00[America/Chicago] test Success
2019-04-14T16:08:54.712-05:00[America/Chicago] test Success
